id,zone_name,country_code,abbreviation,time_start,gmt_offset,dst
9558,America/Chicago,US,CST,-1045414800,-21600,0
9560,America/Chicago,US,CST,-1018198800,-21600,0
9562,America/Chicago,US,CST,-986749200,-21600,0
9564,America/Chicago,US,CST,-955299600,-21600,0
9566,America/Chicago,US,CST,-923245200,-21600,0
9568,America/Chicago,US,CST,-891795600,-21600,0
9571,America/Chicago,US,CST,-765392400,-21600,0
9573,America/Chicago,US,CST,-733942800,-21600,0
9575,America/Chicago,US,CST,-702493200,-21600,0
9577,America/Chicago,US,CST,-671043600,-21600,0
9579,America/Chicago,US,CST,-639594000,-21600,0
9581,America/Chicago,US,CST,-608144400,-21600,0
9583,America/Chicago,US,CST,-576090000,-21600,0
9585,America/Chicago,US,CST,-544640400,-21600,0
9587,America/Chicago,US,CST,-513190800,-21600,0
9589,America/Chicago,US,CST,-481741200,-21600,0
9591,America/Chicago,US,CST,-447267600,-21600,0
9593,America/Chicago,US,CST,-415818000,-21600,0
9595,America/Chicago,US,CST,-384368400,-21600,0
9597,America/Chicago,US,CST,-352918800,-21600,0
9599,America/Chicago,US,CST,-321469200,-21600,0
9601,America/Chicago,US,CST,-289414800,-21600,0
9603,America/Chicago,US,CST,-257965200,-21600,0
9605,America/Chicago,US,CST,-226515600,-21600,0
9607,America/Chicago,US,CST,-195066000,-21600,0
9609,America/Chicago,US,CST,-163616400,-21600,0
9611,America/Chicago,US,CST,-131562000,-21600,0
9613,America/Chicago,US,CST,-100112400,-21600,0
9615,America/Chicago,US,CST,-68662800,-21600,0
9617,America/Chicago,US,CST,-37213200,-21600,0
9619,America/Chicago,US,CST,-5763600,-21600,0
9621,America/Chicago,US,CST,25686000,-21600,0
9623,America/Chicago,US,CST,57740400,-21600,0
9625,America/Chicago,US,CST,89190000,-21600,0
9627,America/Chicago,US,CST,120639600,-21600,0
9629,America/Chicago,US,CST,152089200,-21600,0
9631,America/Chicago,US,CST,183538800,-21600,0
9633,America/Chicago,US,CST,215593200,-21600,0
9635,America/Chicago,US,CST,247042800,-21600,0
9637,America/Chicago,US,CST,278492400,-21600,0
9639,America/Chicago,US,CST,309942000,-21600,0
9641,America/Chicago,US,CST,341391600,-21600,0
9643,America/Chicago,US,CST,372841200,-21600,0
9645,America/Chicago,US,CST,404895600,-21600,0
9647,America/Chicago,US,CST,436345200,-21600,0
9649,America/Chicago,US,CST,467794800,-21600,0
9651,America/Chicago,US,CST,499244400,-21600,0
9653,America/Chicago,US,CST,530694000,-21600,0
9655,America/Chicago,US,CST,562143600,-21600,0
9657,America/Chicago,US,CST,594198000,-21600,0
9659,America/Chicago,US,CST,625647600,-21600,0
9661,America/Chicago,US,CST,657097200,-21600,0
9663,America/Chicago,US,CST,688546800,-21600,0
9665,America/Chicago,US,CST,719996400,-21600,0
9667,America/Chicago,US,CST,752050800,-21600,0
9669,America/Chicago,US,CST,783500400,-21600,0
9671,America/Chicago,US,CST,814950000,-21600,0
9673,America/Chicago,US,CST,846399600,-21600,0
9675,America/Chicago,US,CST,877849200,-21600,0
9677,America/Chicago,US,CST,909298800,-21600,0
9679,America/Chicago,US,CST,941353200,-21600,0
9681,America/Chicago,US,CST,972802800,-21600,0
9683,America/Chicago,US,CST,1004252400,-21600,0
9685,America/Chicago,US,CST,1035702000,-21600,0
